mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_winter_share,export_midday_share_summer,export_night_share,export_mean_hour_summer,export_hour_std_summer,export_max_kw,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw,weather_export_irradiance_corr_summer,weather_sunny_cloudy_export_contrast_summer,weather_export_per_irradiation_summer,weather_midday_import_irradiance_corr_summer,weather_winter_import_temperature_corr,plz,ort,weather_station,weather_station_distance_km,weather_temperature_station,weather_temperature_station_distance_km,weather_common_summer_days,weather_common_winter_days,weather_error,n_filled_features
99862,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,3.62139,4.53384,0.07840,0.02074,0.00710,9.01742,0.86486,0.40399,4.82282,1.58832,883,338,240,1,0,0.00000,0.40308,0,0.00000,0.00000,0.00000,0.09592,-0.18108,4303,Kaiseraugst,STC St. Chrischona,5.73753,MOE Möhlin,10.99251,329,240,,7
100119,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.09597,1.02094,4.95811,5.54585,0.00027,8.33613,0.97287,0.33068,2.48309,0.09662,912,338,269,1,0,0.00000,0.02352,0,0.00000,0.00000,0.00000,-0.07786,0.22440,4303,Kaiseraugst,STC St. Chrischona,5.73753,MOE Möhlin,10.99251,179,238,,7
100375,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.24508,3.66729,0.00000,0.00029,0.01605,7.20775,0.79946,0.36084,5.52850,0.52680,883,338,240,1,0,0.00000,0.34312,0,0.00000,0.00000,0.00000,0.03179,-0.23897,5622,Waltenschwil,MOA Mosen,11.13299,MOA Mosen,11.13299,325,235,,7
100631,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.78211,2.30724,0.00000,0.00348,0.00278,4.08734,0.71615,0.34670,4.97280,0.59380,1242,461,361,1,0,0.00000,0.17822,0,0.00000,0.00000,0.00000,-0.10692,-0.05239,5504,Othmarsingen,BUS Buchs / Aarau,10.46537,BUS Buchs / Aarau,10.46537,338,240,,7
100887,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.32242,1.01845,0.00000,0.00000,-0.02188,5.90520,0.87173,0.31045,1.62832,0.79494,883,338,240,1,0,0.00000,0.20847,0,0.00000,0.00000,0.00000,-0.14072,-0.09640,4303,Kaiseraugst,STC St. Chrischona,5.73753,MOE Möhlin,10.99251,332,240,,7
101399,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,4.90027,1.84905,0.85065,0.40490,-0.04541,6.51164,2.05184,0.42365,16.08276,0.68254,1239,461,389,1,0,0.00000,0.12268,0,0.00000,0.00000,0.00000,0.35339,0.01315,5706,Boniswil,MOA Mosen,8.10837,MOA Mosen,8.10837,294,226,,7
101911,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.03435,1.24273,0.01331,0.00448,0.00405,3.81308,0.99254,0.31567,0.88101,0.77494,852,338,240,1,0,0.00000,0.09660,0,0.00000,0.00000,0.00000,0.04004,0.14240,5237,Mönthal,PSI Würenlingen / PSI,7.24352,PSI Würenlingen / PSI,7.24352,334,240,,7
102167,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.57293,1.80435,0.00000,0.00030,-0.00908,5.92437,0.99160,0.30927,6.66823,0.76180,852,338,240,1,0,0.00000,0.22128,0,0.00000,0.00000,0.00000,0.10617,0.08241,5622,Waltenschwil,MOA Mosen,11.13299,MOA Mosen,11.13299,322,230,,7
103703,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.34254,1.17535,0.00000,0.00000,-0.01690,5.60664,0.73887,0.35965,1.70019,0.73371,852,338,240,1,0,0.00000,0.60059,0,0.00000,0.00000,0.00000,-0.16177,-0.29466,4310,Rheinfelden,MOE Möhlin,6.44527,MOE Möhlin,6.44527,337,240,,7
103959,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.18498,0.97804,0.06879,0.02086,0.02072,6.52222,0.26251,0.27559,3.47048,0.16255,852,338,240,1,0,0.00000,2.48704,0,0.00000,0.00000,0.00000,-0.20090,-0.65565,5622,Waltenschwil,MOA Mosen,11.13299,MOA Mosen,11.13299,328,237,,7
