mp_id,ev_plateau_days_frac,ev_plateau_level_kw,ev_plateau_level_p90_kw,ev_level_consistency,ev_plateau_duration_h,ev_plateau_duration_p90_h,ev_plateau_energy_kwh,ev_plateau_energy_p90_kwh,ev_flat_plateau_days_frac,ev_step_up_kw,ev_start_evening_night_frac,ev_start_hour_spread_h,ev_day_plateau_days_frac,ev_weekend_minus_weekday_frac,ev_gap_days_median,ev_plateau_days_winter_minus_summer,ev_max_over_base_kw,ev_high_hours_per_day,ev_high_energy_share,ev_sessions_per_plateau_day,n_days,n_summer_days,n_winter_days,mean_import_kw,base_kw
42511,0.0738,2.8880,3.1100,0.9062,1.2500,1.8750,3.5482,5.8245,0.0315,3.2500,0.5417,3.2866,0.0338,0.0438,10.0000,0.0302,6.0760,0.4771,0.2173,1.2292,1301,461,420,0.2473,0.1080
42767,0.0118,2.5560,6.8224,0.6667,1.2500,1.6500,3.4430,10.9680,0.0031,2.5080,0.3333,3.6990,0.0079,0.0105,31.0000,0.0240,4.2968,0.1760,0.0307,1.0000,1270,461,420,0.6146,0.4120
43023,0.0138,2.0840,2.1418,0.9444,1.0000,1.3250,2.1555,3.1246,0.0123,1.6720,0.2778,2.3155,0.0100,-0.0194,10.0000,0.0290,4.7560,0.1497,0.1898,1.0556,1301,461,420,0.0915,0.0440
43279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,2.5480,0.0223,0.0221,0.0000,1301,461,420,0.0945,0.0380
43535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,2.6980,0.0115,0.0120,0.0000,1301,461,420,0.0955,0.0140
43791,0.3221,3.6180,3.9884,0.8616,1.7500,3.0000,5.8700,11.0236,0.0500,3.7760,0.7494,4.9565,0.0807,0.0019,1.0000,0.7857,7.1360,5.2312,0.5867,3.7041,1301,461,420,1.2364,0.1880
44303,0.0228,2.5900,3.4648,0.5862,1.0000,1.5000,3.1130,4.0914,0.0055,1.9240,0.0690,2.9544,0.0213,0.0105,20.0000,0.0179,4.1631,0.3071,0.1227,1.0345,1270,461,420,0.2565,0.0260
44559,0.6226,5.7920,6.7692,0.4852,1.2500,2.2500,6.4500,11.1986,0.0684,4.6880,0.8074,4.0043,0.1199,-0.2111,1.0000,0.4322,10.5160,5.1645,0.5944,1.8938,1301,461,420,1.2731,0.2240
44815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,151.0000,0.0000,0.0000,0.0000,0.0000,0.0000,144,31,59,0.0000,0.0000
45327,0.6049,2.8300,3.2480,0.8996,2.0000,4.0000,5.6310,11.9064,0.4958,2.3520,0.8374,3.8216,0.0984,-0.1939,1.0000,-0.0351,5.8560,1.9844,0.5513,1.1194,1301,461,420,0.4385,0.0680
45839,0.0223,2.4720,3.0352,0.7241,1.0000,1.5000,2.9140,4.3218,0.0023,2.3160,0.4483,5.3312,0.0123,0.0405,10.0000,0.0270,4.1120,0.1826,0.0504,1.0345,1301,461,420,0.3816,0.1380
46095,0.0661,2.2650,2.9628,0.7262,1.0000,1.4250,2.6962,3.5865,0.0315,1.8400,0.1667,3.3951,0.0551,0.0463,7.0000,-0.0030,4.3312,0.2862,0.1359,1.0476,1270,461,420,0.2147,0.0520
46607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,2.7940,0.0475,0.0386,0.0000,1301,461,420,0.1421,0.0280
46863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,2.4640,0.0152,0.0154,0.0000,1301,461,420,0.0940,0.0160
47119,0.0102,4.0040,4.1480,0.5385,1.5000,4.4000,6.2000,18.1240,0.0047,2.0560,0.3077,4.9111,0.0071,-0.0028,2.0000,0.0082,4.2807,0.1374,0.0899,1.3077,1270,461,420,0.1773,0.0200
47375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,0.3120,0.0000,0.0000,0.0000,1301,461,420,0.0006,0.0000
47631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,3.7020,0.1180,0.0699,0.0000,1301,461,420,0.1721,0.0340
47887,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1308.0000,0.0000,1.0080,0.0000,0.0000,0.0000,1301,461,420,0.2225,0.0960
48399,0.6042,3.4500,4.8920,0.5840,5.2500,7.7500,17.4490,31.6245,0.1284,4.5880,0.8384,3.8362,0.0976,0.0183,1.0000,0.6263,11.0240,4.8538,0.4917,1.6247,1301,461,420,1.4891,0.2380
48911,0.8286,3.8090,5.2992,0.5538,2.0000,3.0000,8.2048,14.1267,0.2483,4.4620,0.8228,3.7052,0.1468,-0.3032,1.0000,0.2795,9.1960,6.9045,0.6651,1.6549,1301,461,420,1.5843,0.2040
49167,0.7110,2.6700,2.9024,0.9297,1.5000,2.7500,4.1120,7.4272,0.5749,2.2000,0.8951,2.5574,0.0746,-0.5572,1.0000,0.1673,5.8440,1.7796,0.4122,1.0281,1301,461,420,0.4823,0.0460
